ID, RT,mass,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
11,4.343166667,187.0633,28553.80551,6.54E-06,6.45E-06,19587.21254,23158.5117,22057.25383,21291.3457,6.25E-06,8181.206181,24980.5531,10336.07588,25143.80027,29262.8461,7962.811506,7307.773439,9991.783349,24993.65489,9496.873231,9121.785357,8196.647736,30812.42673,7.03E-06,6.15E-06,21518.53277,23897.0773,34081.24088,8051.739567,32185.76309,9656.929831,30065.32551,8819.557232,9099.56987,23590.69311,7831.43942,7364.191955,6.18E-06,20014.51481,25583.13814,6525.639877,31217.78517,7404.596241,9349.852457,21.81315603,17670.23404,27136.10723,7620.582205,21800.04621,7206.600205,6975.457216,6455.758019,7361.720923,25253.81599,8558.991367,7168.991854,5.21E-06,21134.20528,30049.21463,26610.71007,8142.442003,6173.408635,21104.65458,9149.643246
12,5.315,414.2466,6289.013498,210.4748108,63.64477636,305.6733,476.2926379,10972.82621,325.3184862,32.23744221,541.3337117,276.3860348,312.1197522,239.3213525,202.1451345,1076.502667,1252.485886,1440.13695,914.8729303,460.5169484,507.1474245,1236.863354,783.7934372,698.5075069,645.0218533,708.0655014,475.3608227,450.0989155,338.4503012,305.007825,480.2728791,447.9368382,623.6724889,36434.09952,28541.21518,389.3079132,32327.43909,37255.18183,35427.73316,479.6325284,440.859953,469.9933223,395.369446,42649.19946,31239.43618,35379.64274,39530.81646,35571.42024,27689.18494,36974.59863,29397.29045,433.2920139,34905.76611,351.0815053,38862.44496,31686.36561,528.0121967,33896.1517,356.627511,403.2546766,31012.74881,386.6576397,45560.24464,29903.82212
13,5.465933333,458.2729,9679.450435,74.46159517,409.9291514,474.4117355,639.0738966,17088.7091,499.246377,478.6873373,769.5525813,367.1656951,363.0497532,361.0425452,379.029746,1463.693318,1712.179828,1869.021258,1284.405791,614.9288264,520.8862466,1703.590189,975.6780777,805.9116708,736.8891985,781.395867,537.6553019,508.5739658,369.572289,91.01218815,593.7018825,556.1920104,727.7311569,31878.28999,24867.21712,98.57979923,26948.15711,31706.54345,30072.00379,627.1046927,522.1150644,547.6795046,431.8179806,36590.68338,26540.89256,29386.11517,33182.03494,30029.34198,23693.10485,31807.11,24468.79644,487.7455307,29567.33141,430.1764427,33574.47536,27187.1414,634.136996,29336.80883,416.1511047,503.1878097,26034.2916,449.6180013,38503.78437,25006.80911
14,11.94833333,523.365,11019.39635,11909.2708,11486.82674,8040.844376,7546.812005,4709.636825,9587.624077,14746.50054,6.03E-06,10413.44257,11008.84245,8784.532816,10024.78996,11216.77295,8124.122412,8999.168995,10650.23341,7808.026401,7.04E-06,8002.817461,7.48E-06,7.03E-06,6.15E-06,6.34E-06,9013.313303,10680.17942,7162.891235,12019.80577,12523.72339,7.54E-06,6.72E-06,12954.79899,13171.32289,13997.09865,13813.05803,10704.04073,12028.60735,12094.36805,12995.78155,10312.92413,12709.43489,10464.83382,9443.740329,9848.760151,11040.20572,13041.87072,11524.35372,9064.100323,12523.56699,10240.49706,11857.26872,14173.47563,8737.13933,11331.75332,10748.66571,11335.38385,10604.81944,14617.04492,12559.92051,9127.341574,10890.77173,10814.77436
15,3.268,119.0735,14239.79583,14814.50671,12689.4806,15667.64061,15234.25901,7.13E-06,11313.62994,11788.19368,14425.32722,11469.18503,9397.051836,6.24E-06,12624.39957,8506.165927,13769.17541,9226.287205,17307.40477,12392.26547,10483.08771,10669.84406,7.48E-06,11975.33986,12372.20889,11965.17402,9491.875527,13123.73366,12201.51986,11542.60731,13993.66869,15225.67953,11892.07513,5.02E-06,5.02E-06,10124.60691,5.75E-06,14147.45747,10130.69818,12477.33236,5.16E-06,11225.37939,6.30E-06,5.48E-06,12374.37364,8905.131387,10540.2665,9814.655174,8101.622787,9031.53255,7683.745883,7990.995517,8742.585772,5.47E-06,5.95E-06,10154.04236,9593.128194,10601.87905,12052.85264,6.14E-06,10404.0378,11837.02442,9903.532029,11733.64467
16,4.400733333,153.0345,9471.041488,8896.070679,8806.12788,12587.58039,9392.299397,9705.145083,7692.590935,8528.039918,8160.501095,9759.783118,8320.489461,8597.862877,9864.798892,8526.123163,7707.912647,8426.678764,8965.091978,9163.264562,9489.130594,8040.50382,10117.11589,9735.881709,8599.215664,8929.628601,10081.85688,10651.79237,11642.90216,9399.812787,9022.593875,10441.50253,9066.927828,7569.538715,7146.479573,7912.242382,8412.774614,8776.521425,7113.994455,8429.724478,7643.498268,9265.285197,9300.902256,8107.021299,7812.747718,7963.693876,7961.135677,8620.308575,7920.415787,8497.562277,8256.027485,7990.28245,8202.060664,7656.253185,8275.61547,8131.809145,7677.416766,8471.891805,8763.72076,8806.997819,8052.901584,9132.071864,9605.334489,8476.925728
17,0.741416667,115.0631,6.85E-06,16320.30154,4484.373578,9.20E-06,16701.76607,4700.456297,7149.50732,15241.04729,6.03E-06,14055.47226,9437.155582,15327.69567,12671.28463,8957.046395,6581.690393,12782.64036,12072.764,10892.68852,4068.773736,6.06E-06,11667.12819,4319.359349,9114.403364,13283.80617,8233.299961,7.57E-06,6958.414698,6888.552488,11998.27216,7.54E-06,11207.88707,2863.539636,3590.301087,9705.507142,10007.47945,11001.58073,8565.759289,11349.09369,2932.625328,8054.141456,6.30E-06,3195.572507,11109.53179,9135.075555,8239.225613,5315.365296,10321.85243,7285.952378,8677.033196,5502.285796,6213.68152,8467.272054,3571.333394,7014.764101,9194.664781,2982.180958,9035.808171,12700.65188,5.66E-06,9384.967532,4901.403602,5.87E-06
18,1.445533333,164.0472,9028.913526,11319.83572,8962.020719,979.4873325,11439.39893,9617.028243,7570.18416,8587.978732,9154.570421,8665.905895,6.00E-06,8163.202929,7695.018572,7822.112567,10179.54429,10296.64583,8483.50994,8453.277447,10293.31934,6943.366919,1612.009216,7730.20175,9017.123767,7713.225337,7705.047572,10352.34883,6363.291028,10123.48308,8283.621271,11929.68052,11108.57606,7964.976081,8534.47472,7456.274922,6246.001357,8959.803467,6244.298155,6439.986061,8450.034468,7439.61878,8169.840001,6713.976344,8664.450552,5688.468445,6677.169912,5386.277908,6935.65671,5885.88601,5481.186062,8169.859108,5516.310242,9271.707471,8063.825156,7213.314783,7109.302021,7064.410812,8061.373481,6.14E-06,6501.293784,6210.690663,6018.895237,8570.572473
19,5.601866667,502.2993,1431.557872,445.9755271,648.6406908,684.053375,798.6919728,23023.28472,763.2211541,666.5974413,1059.857141,421.7203518,467.9260175,505.6067355,478.0955416,1800.863853,2203.995916,2225.786808,1713.798654,796.9151255,625.0565319,2072.764366,1198.86881,993.9649608,937.9723784,896.81745,638.5940166,582.9193645,466.5229011,477.2000493,716.4709376,655.6775748,890.3180166,23308.40923,18516.5017,503.0785794,20765.47441,22891.17266,23607.578,743.4097631,636.1484773,649.2614715,573.2061311,28513.4666,20195.93611,5054.241123,25589.71243,22820.64335,17764.15949,2879.555082,18530.02621,568.3429634,4903.570562,536.7928864,25377.48814,20284.09692,738.0576592,2541.920328,531.2721574,577.5582028,20177.70794,539.9758174,30194.39748,18920.48303
20,4.343366667,408.1796,213.9460064,360.3584145,6.45E-06,76.41290662,150.2964936,128.9939106,156.959748,202.1361532,16056.98316,151.3865241,20665.7644,182.138527,212.013042,15763.80334,14084.7764,20226.95078,170.5500921,18542.0676,17872.97957,16319.73537,238.9519617,238.7902384,261.8247169,127.2679522,167.8993516,250.1750972,15643.22705,258.1897105,18609.57453,220.1253213,17382.13288,18198.66159,182.8204814,15349.99757,14202.85674,192.8555697,154.3124776,189.8222634,12692.79184,261.8315449,14068.13188,17853.52931,234.8595899,114.9333949,251.177788,14796.31305,163.5926926,14064.68277,13822.95433,12590.83172,14384.7255,213.140691,17078.0966,13696.95751,5.21E-06,121.2703731,256.4353766,204.2046647,15669.67026,11910.82076,134.1212422,17821.22428
21,8.865,248.199,8957.514846,8507.817796,8252.06788,11357.21369,7337.091531,8806.429438,7172.88017,7594.712316,7374.131941,8462.218777,6500.846291,6819.360948,7286.397638,6261.380221,6501.207749,6771.584122,7323.280842,6.78E-06,7217.137205,6231.29771,7937.794745,7863.07366,6575.597002,6695.683073,7661.650744,8205.766724,9263.443668,8050.6963,7364.670318,9071.985564,8189.335972,2695.478348,4436.06928,5676.797066,4459.093296,4655.56614,3753.559132,5671.000458,5069.976357,6094.956037,6074.203168,4760.52259,4280.517874,4496.040719,2726.141424,5962.76567,5254.682061,5515.185928,5265.143221,6196.223568,5382.928139,6106.814559,5768.908771,5079.683889,3662.208169,6513.380501,6217.389949,7291.514831,5652.729848,7562.382533,4718.701775,5257.916185
22,10.68693333,543.3335,6.85E-06,15116.90531,8067.119898,9.20E-06,6.79E-06,8544.001575,6647.002293,6.25E-06,6.03E-06,8051.297016,12271.72201,6.24E-06,7.01E-06,6.23E-06,5.84E-06,8799.05688,6.71E-06,9549.509504,7.04E-06,9711.350322,7.48E-06,10150.94436,10840.74647,6.34E-06,7.31E-06,9941.131162,11573.09478,6.99E-06,6.43E-06,7.54E-06,6.72E-06,5.02E-06,6614.723365,10969.58438,5.75E-06,6.18E-06,46.57407922,5.79E-06,15071.81681,13009.32428,12597.67396,12103.16631,9026.670844,12192.29552,14567.44795,13938.61977,14893.45393,6.33E-06,10643.45908,15379.81361,13106.54527,8944.718904,13277.80955,16910.82027,5.21E-06,6.72E-06,10028.85224,8745.140259,9204.32848,14939.21563,6.52E-06,5.87E-06
